4s] OK V=53.20V I=+0.0A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=25.6A DCL=25.6A | chg=1 dis=1 fc1=0 [56s] OK V=53.20V I=+0.0A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=25.6A DCL=25.6A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[260s] OK V=53.10V I=-4.0A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[262s] OK V=53.10V I=-5.1A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[264s] OK V=53.10V I=-4.1A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[266s] OK V=53.10V I=-4.9A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[268s] OK V=53.10V I=-6.8A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[270s] OK V=53.10V I=-5.9A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[272s] OK V=53.10V I=-6.4A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[274s] OK V=53.10V I=-6.4A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[276s] OK V=53.10V I=-8.2A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
[278s] OK V=53.10V I=-5.6A T=21.8C SOC=84% SOH=99% | CVL=56.8V CCL=208.4A DCL=208.4A | chg=1 dis=1 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=2 | inv0x305=yes
